url,handle_action,destination
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_155_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_158_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_159_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_161_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_161_00_0002_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_164_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_167_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_167_00_0002_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_168_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_170_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_179_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_179_00_0003_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1991_184_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1992_003_00_0002_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1992_085_00_0001_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1992_085_00_0002_bak,MODIFY,https://hdl.loc.gov/loc.gmd/eadgmd.gm020010.3
